DateTime,AddedIPs,RemovedIPs
1523874966,2,0
1523875925,1,0
1523878327,1,0
1523881216,0,1
1523881689,0,1
1523885048,1,0
1523889365,1,0
1523894649,0,1
1523898490,1,0
1523900888,0,2
1523901365,2,1
1523909046,0,2
1523909528,2,0
1523913615,0,1
1523922007,1,0
1523925129,1,0
1523928005,0,1
1523928489,0,1
1523929928,1,0
1523931369,1,0
1523941223,0,1
1523944566,1,0
1523953690,0,1
1523957047,1,0
1523958006,1,0
1523960885,0,1
1523963288,0,1
1523966426,1,0
1523967861,1,0
1523982733,0,1
1523986087,1,0
1523988969,0,1
1523990407,0,1
1523992326,1,0
1524001448,0,2
1524001926,1,0
1524004806,1,0
1524013693,0,1
1524024726,0,2
1524025208,2,0
1524029048,0,1
1524040329,1,0
1524043928,0,1
1524051130,1,0
1524052088,1,0
1524054485,0,1
1524057833,0,1
1524058328,1,0
1524062405,0,1
1524065289,1,0
1524067446,1,0
1524068409,0,1
1524093873,0,0
1524096249,0,1
1524097206,0,0
1524099365,1,0
1524100807,0,1
1524101289,1,0
1524101765,0,2
1524102249,2,0
1524117848,0,1
1524118325,1,0
1524124089,0,0
1524126729,0,2
1524127205,2,0
1524127693,1,0
1524132485,0,1
1524139449,1,0
1524151924,0,2
1524152409,2,0
1524157925,0,1
1524162248,1,0
1524163205,0,1
1524163688,0,1
1524176644,1,0
1524177126,0,2
1524177606,2,0
1524181930,0,1
1524185050,1,0
1524189364,0,1
1524197531,0,1
1524200167,0,2
1524200647,1,0
1524201127,2,0
1524214565,0,1
1524218165,1,0
1524218887,1,0
1524226086,0,1
1524233286,0,1
1524237610,1,0
1524239529,1,0
1524247929,0,1
1524249847,0,1
1524250326,1,0
1524251291,1,0
1524253209,0,1
1524262809,0,1
1524265930,1,0
1524268822,0,1
1524271927,1,0
1524274808,0,2
1524275289,2,0
1524276247,1,0
1524284885,0,1
1524288727,1,0
1524302885,1,0
1524305771,0,1
1524308649,1,0
1524310088,0,1
1524313460,1,0
1524316569,0,1
1524320168,1,0
1524324488,0,1
1524326413,0,2
1524326886,2,0
1524328805,1,0
1524336005,0,1
1524351364,0,2
1524352328,2,0
1524366022,0,1
1524369365,1,0
1524373215,0,1
1524376564,1,2
1524377048,2,0
1524402486,1,0
1524414010,0,1
1524414490,1,0
1524421207,0,1
1524426007,0,2
1524426484,2,0
1524427929,0,2
1524428404,2,0
1524429366,0,1
1524432726,1,0
1524438494,0,1
1524439208,1,0
1524445926,0,1
1524446411,1,0
1524450007,0,1
1524452422,1,0
1524457688,0,1
1524461044,1,0
1524464413,0,1
1524467288,1,0
1524474012,0,1
1524475205,1,0
1524477124,1,0
1524478092,0,1
1524480965,1,0
1524483847,0,1
1524487205,1,0
1524502812,0,1
1524503287,0,2
1524503769,2,0
1524506652,1,0
1524507606,0,1
1524512893,0,1
1524519367,1,0
1524525606,0,1
1524528486,1,2
1524528971,2,0
1524534726,0,1
1524535221,1,0
1524543850,0,1
1524544331,1,0
1524557525,0,1
1524561370,1,0
1524563766,0,2
1524564252,2,0
1524570726,0,1
1524573128,1,0
1524574087,1,0
1524580087,0,1
1524581532,0,1
1524584405,1,0
1524585848,1,0
