DateTime,AddedIPs,RemovedIPs
1520327812,0,2
1520329718,0,2
1520343171,0,1
1520347251,0,1
1520354934,0,1
1520362881,0,1
1520364778,1,0
1520368831,0,1
1520370775,1,0
1520382514,1,0
1520384503,1,0
1520397879,0,1
1520401712,1,0
1520403636,0,1
1520409407,1,1
1520419230,8,0
1520457864,0,1
1520460088,2,0
1520461961,1,0
1520467993,0,1
1520475941,0,1
1520477916,1,0
1520479752,0,1
1520483603,1,0
1520489426,1,1
1520505874,0,9
1520517892,1,0
1520528192,1,0
1520535861,1,0
1520547408,0,1
1520549315,0,1
1520551242,1,0
1520564684,0,1
1520570422,0,1
1520576205,1,0
1520587957,1,0
1520589882,1,0
1520603473,0,1
1520609550,0,1
1520615311,0,1
1520622994,1,1
1520630671,0,1
1520637447,0,2
1520641286,1,0
1520653216,1,0
1520663085,0,1
1520674628,0,1
1520676523,0,1
1520740886,0,1
1520756425,1,0
1520762182,1,0
1520766116,1,0
1520778283,1,0
1520782110,0,1
1520791739,1,1
1520799898,0,1
1520817409,1,0
1520821259,1,0
1520827011,1,0
1520842354,0,1
1520852210,1,0
1520854105,0,1
1520856086,1,0
1520865645,0,1
1520878747,0,1
1520892108,1,0
1520896160,1,0
1520902107,1,0
1520908014,0,1
1520914124,0,1
1520917963,1,0
1520937157,1,1
1520939084,0,1
1520954430,1,0
1520978187,0,1
1520982133,0,1
1520987786,0,1
1521005071,0,1
1521018530,1,0
1521022364,0,1
1521039990,0,2
1521041802,1,0
1521056991,1,0
1521058927,2,0
1521060766,7,0
1521064897,1,0
1521071091,2,0
1521076823,1,0
1521082568,1,0
1521084505,2,0
1521105483,0,1
1521120968,1,0
1521127236,0,1
1521146678,0,1
1521148599,0,9
1521150509,0,1
1521152437,1,0
1521156436,0,1
1521158562,0,1
1521168796,0,2
1521170666,0,1
1521184181,1,0
1521207157,1,0
1521215077,1,0
1521224682,1,0
1521228516,0,2
1521230499,1,0
1521238134,0,1
1521240035,1,0
1521241908,1,0
1521255378,0,1
1521268880,1,0
1521270761,0,1
1521293800,0,1
1521295836,1,0
1521299698,1,0
1521301593,0,1
1521311194,0,1
1521326949,0,1
1521336497,1,0
1521342277,1,0
1521348293,1,0
1521354025,0,1
1521383315,0,1
1521394844,0,1
1521400610,2,0
1521404665,1,0
1521421447,0,1
1521425561,2,0
1521433487,0,1
1521454833,1,0
1521456759,1,0
1521462510,1,0
1521466357,1,0
1521474040,1,0
1521485791,0,2
1521490718,0,1
1521502374,1,0
1521508348,1,0
1521512476,0,1
1521514496,1,0
1521516499,0,1
1521520359,0,1
1521530152,1,0
1521541594,0,2
1521545475,1,0
1521549320,0,1
1521553146,0,1
1521558981,1,0
1521584916,1,0
1521594508,1,1
1521598335,0,1
1521600269,1,0
1521602187,0,1
1521617553,0,1
1521629063,1,0
1521632896,1,0
1521636752,2,1
