DateTime,AddedIPs,RemovedIPs
1521550820,1,0
1521552917,1,0
1521554419,1,0
1521564616,1,0
1521582019,5,0
1521601221,1,0
1521623116,0,3
1521630915,1,0
1521633915,1,0
1521647415,1,0
1521666916,1,0
1521676516,0,3
1521676819,0,1
1521677416,209,6
1521678018,0,12
1521678322,0,2
1521678916,0,9
1521679217,0,3
1521679817,0,4
1521680419,0,8
1521687016,1,0
1521720018,1,0
1521720616,1,0
1521720917,1,0
1521721219,1,0
1521739817,1,0
1521746416,1,0
1521769816,1,0
1521815117,1,0
1521820817,2,0
1521873017,1,0
1521881117,1,0
1521936915,1,0
1521968418,1,0
1521969915,1,0
1522002017,0,1
1522007416,1,0
1522013116,1,0
1522045816,1,0
1522046716,0,1
1522052715,0,1
1522053918,0,1
1522054516,0,4
1522054819,0,2
1522081516,1,0
1522089315,1,0
1522091716,392,3
1522092017,70,3
1522098020,1,0
1522110016,1,0
1522118419,1,0
1522135518,0,1
1522148418,2,0
1522201216,1,0
1522213217,1,0
1522215315,2,0
1522216817,1,0
1522220716,0,1
1522238716,1,0
1522239917,1,0
1522248616,1,0
1522270818,2,0
1522287316,1,0
1522287915,1,0
1522302017,1,0
1522310116,0,1
1522317317,1,0
1522326018,1,0
1522364716,1,0
1522401316,1,0
1522409417,1,0
1522419016,1,0
1522428916,2,0
1522440018,1,0
1522445416,2,0
1522451416,1,0
1522493715,1,0
1522506617,1,0
1522521616,36,0
1522522216,501,6
1522522818,120,0
1522525217,0,1
1522534816,0,1
1522590916,195,11
1522591218,292,0
1522591816,223,0
1522596017,76,0
1522596618,527,6
1522597217,48,0
1522602915,1,0
1522605016,459,6
1522605617,150,0
1522617616,0,1
1522678516,1,0
1522680016,1,0
1522680616,1,0
1522689018,2,0
1522707016,1,0
1522760418,1,0
1522761617,2,0
1522764316,0,1
1522786818,1,0
1522792518,187,0
1522792829,283,8
1522793416,378,1
1522794017,353,2
1522794316,103,1
1522795816,0,10
1522797316,0,1
1522798817,0,4
1522799117,3,4
1522799716,0,4
1522800020,0,6
1522800316,0,1
1522801216,0,8
1522802116,8,0
1522802716,384,0
1522803017,197,0
1522803617,207,0
1522808118,1,0
1522828818,0,2
1522831216,3,0
1522834816,1,0
1522835417,0,2
1522859420,1,0
1522867516,1,0
1522871417,248,6
1522872017,135,0
1522882816,1,0
1522889116,2,0
1522891515,1,0
1522933517,2,0
1522958716,1,0
1522968017,15,3
1522968317,273,3
1522968616,159,3
1522996817,0,4
1522997117,0,2
1522997716,0,2
1523001916,0,1
1523009416,1,0
1523013617,1,0
1523033716,1,0
1523055017,1,0
1523056516,1,0
1523060416,1,0
1523109316,1,0
1523109916,1,0
1523116516,1,0
1523133019,2,0
1523133317,6,0
1523133618,1,0
1523144716,33,3
1523145316,347,6
1523145618,5,0
1523148317,3,0
1523148618,90,0
1523149217,199,0
1523184919,1,0
1523186116,1,0
1523204115,1,0
1523225716,30,0
1523226019,102,0
1523227218,240,3
1523235618,1,0
1523239219,2,0
1523268020,1,0
1523282115,0,1
1523291715,0,1
1523300420,1,0
1523318419,1,0
1523337617,1,0
1523345716,0,1
1523347218,1,0
1523349617,1,0
1523363716,1,0
1523385917,1,0
1523388016,0,3
1523411716,1,0
1523418616,1,0
1523428818,1,0
1523434220,1,0
1523444419,1,0
1523461217,1,0
1523478916,2,0
1523484615,1,0
1523545220,1,0
1523552420,1,0
1523565916,1,0
1523570426,36,0
1523570718,113,0
1523571316,290,4
1523571617,179,5
1523572217,274,18
1523573116,43,16
